cntry,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2023
BE,1899,1778,1798,1760,1704,1869,1769,1766,1767,1341,1594
CH,2040,2141,1804,1819,1506,1493,1532,1525,1542,1523,1384
DE,2919,2870,2916,2751,3031,2958,3045,2852,2358,8725,2420
ES,1729,1663,1876,2576,1885,1889,1925,1958,1668,2283,1844
FI,2000,2022,1896,2195,1878,2197,2087,1925,1755,1577,1563
FR,1503,1806,1986,2073,1728,1968,1917,2070,2010,1977,1771
HU,1685,1498,1518,1544,1561,2014,1698,1614,1661,1849,2118
IE,2046,2286,1800,1764,2576,2628,2390,2757,2216,1770,2017
NL,2364,1881,1889,1778,1829,1845,1919,1681,1673,1470,1695
NO,2036,1760,1750,1549,1548,1624,1436,1545,1406,1411,1337
PL,2110,1716,1721,1619,1751,1898,1615,1694,1500,2065,1442
PT,1511,2052,2222,2367,2150,2151,1265,1270,1055,1838,1373
SE,1999,1948,1927,1830,1497,1847,1791,1551,1539,2287,1230
SI,1519,1442,1476,1286,1403,1257,1224,1307,1318,1252,1248
