variable,n,media,sd,mediana,p25,p75,minimo,maximo,asimetria,curtosis
agea,288880,48.67,18.72,49,34,63,14,114,0.08,-0.93
eduyrs,286379,12.61,4.23,12,10,15,0,30,0.04,0.47
eisced,255925,3.81,1.87,4,2,5,1,7,0.26,-1.04
happy,289337,7.47,1.84,8,7,9,0,10,-1.09,1.55
idx_actitud,271544,5.48,2.06,5.67,4.33,7,0,10,-0.34,0.03
idx_permisividad,277654,2.7,0.78,3,2,3,1,4,-0.23,-0.37
imbgeco,280870,5.25,2.4,5,4,7,0,10,-0.27,-0.35
imdfetn,281111,2.36,0.86,2,2,3,1,4,0.21,-0.59
impcntr,282337,2.42,0.89,2,2,3,1,4,0.16,-0.69
imsmetn,281347,2.11,0.82,2,2,3,1,4,0.45,-0.25
imueclt,281357,5.95,2.44,6,5,8,0,10,-0.44,-0.26
imwbcnt,280790,5.18,2.24,5,4,7,0,10,-0.16,-0.04
lrscale,260702,5.04,2.18,5,4,6,0,10,-0.04,0.03
pplfair,288741,5.87,2.21,6,5,8,0,10,-0.53,-0.06
pplhlp,289281,5.1,2.27,5,3,7,0,10,-0.22,-0.44
ppltrst,289640,5.18,2.41,5,4,7,0,10,-0.37,-0.51
rlgdgr,288233,4.57,3.03,5,2,7,0,10,-0.06,-1.09
stfdem,281393,5.47,2.46,6,4,7,0,10,-0.42,-0.48
stfeco,284872,4.87,2.47,5,3,7,0,10,-0.19,-0.7
stfgov,279962,4.41,2.45,5,3,6,0,10,-0.14,-0.75
stflife,289206,7.18,2.12,8,6,9,0,10,-1.05,1.01
trstep,265990,4.6,2.39,5,3,6,0,10,-0.25,-0.53
trstlgl,284455,5.38,2.59,6,4,7,0,10,-0.37,-0.64
trstplc,288077,6.4,2.36,7,5,8,0,10,-0.74,0.13
trstplt,285829,3.79,2.38,4,2,6,0,10,-0,-0.84
trstprl,282877,4.75,2.53,5,3,7,0,10,-0.21,-0.67
trstprt,257757,3.76,2.35,4,2,5,0,10,-0,-0.82
