cntry,actitud,n_actitud,permisividad,pais,rank_actitud,rank_permisividad,desfase
BE,5.175443417574363,18524,2.7104709316250166,Bélgica,10,8,-2
CH,5.931152488404655,17347,2.841776447979302,Suiza,3,4,1
DE,5.4532217691860705,35095,2.8471088955598978,Alemania,9,3,-6
ES,5.725625062477941,19499,2.755301061844503,España,6,6,0
FI,6.045447478431329,20594,2.568815506625659,Finlandia,2,12,10
FR,4.996397699287212,20154,2.663885912136873,Francia,12,11,-1
HU,4.119203306132454,16131,2.0518895494320635,Hungría,14,14,0
IE,5.801859338397442,23026,2.765602193286429,Irlanda,4,5,1
NL,5.567476504538511,19043,2.698567864364132,Países Bajos,8,9,1
NO,5.697774114490704,17001,2.948587004801294,Noruega,7,2,-5
PL,5.761094425250696,16468,2.722809296966144,Polonia,5,7,2
PT,5.1481638273308485,16644,2.4366371949328567,Portugal,11,13,2
SE,6.258058319130954,18437,3.192044337402481,Suecia,1,1,0
SI,4.702841888023291,13581,2.6710392568502255,Eslovenia,13,10,-3
