cntry,Bajo,Medio,Alto,diferencia,monotono
FR,4.4469106935864575,4.811498038991035,6.039736037997419,1.5928253444109615,TRUE
IE,4.986822990456302,5.650454699157429,6.510141125295449,1.5233181348391467,TRUE
SI,4.124094137802675,4.561823680340708,5.63284713502705,1.5087529972243745,TRUE
PT,4.983323660478128,5.634905278611501,6.209094802564147,1.2257711420860193,TRUE
SE,5.647227319524187,5.979181250794191,6.80860088525695,1.161373565732763,TRUE
BE,4.652240650675096,5.0760209625978785,5.806731595411383,1.1544909447362874,TRUE
DE,5.033326200061597,5.159629616736879,6.180813094016543,1.1474868939549454,TRUE
ES,5.218098129190979,6.070718785432978,6.364176615574964,1.1460784863839848,TRUE
NO,5.188870317842663,5.4025826234385095,6.269251206017466,1.080380888174803,TRUE
NL,5.115019389786788,5.521684466607985,6.143112668347453,1.0280932785606653,TRUE
CH,5.523394183739581,5.65349463017151,6.546463951990927,1.0230697682513465,TRUE
HU,3.7299262454255544,4.056128959186627,4.713277240134024,0.98335099470847,TRUE
FI,5.65111316845474,5.783805938029037,6.604294556237447,0.9531813877827062,TRUE
PL,5.389912497990077,5.769993299362613,6.226179490397897,0.8362669924078192,TRUE
