"","idx_actitud","idx_permisividad","ppltrst","pplfair","pplhlp","trstprl","trstplt","trstprt","trstlgl","trstplc","trstep","stfdem","stfeco","stfgov","stflife","happy","eduyrs","eisced","agea","lrscale","rlgdgr"
"idx_actitud",1,0.595,0.304,0.256,0.211,0.32,0.275,0.27,0.302,0.201,0.285,0.326,0.274,0.254,0.19,0.195,0.285,0.287,-0.082,-0.158,-0.007
"idx_permisividad",0.595,1,0.22,0.186,0.145,0.213,0.181,0.178,0.204,0.112,0.181,0.21,0.189,0.141,0.145,0.142,0.276,0.267,-0.156,-0.195,-0.068
"ppltrst",0.304,0.22,1,0.557,0.471,0.371,0.375,0.37,0.366,0.292,0.254,0.331,0.339,0.287,0.28,0.239,0.206,0.23,-0.012,0.002,-0.012
"pplfair",0.256,0.186,0.557,1,0.472,0.319,0.328,0.319,0.325,0.294,0.217,0.299,0.293,0.256,0.285,0.252,0.147,0.171,0.045,0.009,0.004
"pplhlp",0.211,0.145,0.471,0.472,1,0.296,0.327,0.321,0.303,0.276,0.212,0.272,0.291,0.258,0.243,0.211,0.096,0.113,0.058,0.028,0.03
"trstprl",0.32,0.213,0.371,0.319,0.296,1,0.727,0.703,0.634,0.459,0.549,0.586,0.493,0.592,0.262,0.21,0.163,0.196,-0.023,0.059,0.039
"trstplt",0.275,0.181,0.375,0.328,0.327,0.727,1,0.872,0.584,0.437,0.57,0.554,0.497,0.603,0.253,0.199,0.12,0.147,0.001,0.072,0.07
"trstprt",0.27,0.178,0.37,0.319,0.321,0.703,0.872,1,0.568,0.41,0.59,0.549,0.493,0.581,0.246,0.194,0.116,0.139,-0.028,0.068,0.058
"trstlgl",0.302,0.204,0.366,0.325,0.303,0.634,0.584,0.568,1,0.619,0.462,0.528,0.438,0.449,0.268,0.218,0.185,0.207,-0.051,0.042,0.014
"trstplc",0.201,0.112,0.292,0.294,0.276,0.459,0.437,0.41,0.619,1,0.344,0.417,0.337,0.353,0.28,0.244,0.076,0.092,0.051,0.09,0.077
"trstep",0.285,0.181,0.254,0.217,0.212,0.549,0.57,0.59,0.462,0.344,1,0.402,0.303,0.403,0.167,0.148,0.123,0.13,-0.113,0.012,0.065
"stfdem",0.326,0.21,0.331,0.299,0.272,0.586,0.554,0.549,0.528,0.417,0.402,1,0.562,0.641,0.323,0.256,0.123,0.148,-0.02,0.087,0.05
"stfeco",0.274,0.189,0.339,0.293,0.291,0.493,0.497,0.493,0.438,0.337,0.303,0.562,1,0.628,0.396,0.301,0.129,0.164,-0.012,0.108,0.031
"stfgov",0.254,0.141,0.287,0.256,0.258,0.592,0.603,0.581,0.449,0.353,0.403,0.641,0.628,1,0.293,0.228,0.057,0.087,0.017,0.128,0.097
"stflife",0.19,0.145,0.28,0.285,0.243,0.262,0.253,0.246,0.268,0.28,0.167,0.323,0.396,0.293,1,0.696,0.111,0.128,-0.027,0.106,0.052
"happy",0.195,0.142,0.239,0.252,0.211,0.21,0.199,0.194,0.218,0.244,0.148,0.256,0.301,0.228,0.696,1,0.102,0.11,-0.061,0.071,0.063
"eduyrs",0.285,0.276,0.206,0.147,0.096,0.163,0.12,0.116,0.185,0.076,0.123,0.123,0.129,0.057,0.111,0.102,1,0.801,-0.252,-0.051,-0.146
"eisced",0.287,0.267,0.23,0.171,0.113,0.196,0.147,0.139,0.207,0.092,0.13,0.148,0.164,0.087,0.128,0.11,0.801,1,-0.16,-0.039,-0.13
"agea",-0.082,-0.156,-0.012,0.045,0.058,-0.023,0.001,-0.028,-0.051,0.051,-0.113,-0.02,-0.012,0.017,-0.027,-0.061,-0.252,-0.16,1,0.064,0.191
"lrscale",-0.158,-0.195,0.002,0.009,0.028,0.059,0.072,0.068,0.042,0.09,0.012,0.087,0.108,0.128,0.106,0.071,-0.051,-0.039,0.064,1,0.181
"rlgdgr",-0.007,-0.068,-0.012,0.004,0.03,0.039,0.07,0.058,0.014,0.077,0.065,0.05,0.031,0.097,0.052,0.063,-0.146,-0.13,0.191,0.181,1
