dimension,nivel,cntry,pais,media,n
Nivel educativo,Alto,BE,Bélgica,5.806731595411383,7196
Nivel educativo,Bajo,BE,Bélgica,4.652240650675096,5380
Nivel educativo,Medio,BE,Bélgica,5.0760209625978785,5834
Nivel educativo,Alto,CH,Suiza,6.546463951990927,5875
Nivel educativo,Bajo,CH,Suiza,5.523394183739581,3620
Nivel educativo,Medio,CH,Suiza,5.65349463017151,7801
Nivel educativo,Alto,DE,Alemania,6.180813094016543,14509
Nivel educativo,Bajo,DE,Alemania,5.033326200061597,4219
Nivel educativo,Medio,DE,Alemania,5.159629616736879,15936
Nivel educativo,Alto,ES,España,6.364176615574964,6118
Nivel educativo,Bajo,ES,España,5.218098129190979,9993
Nivel educativo,Medio,ES,España,6.070718785432978,3277
Nivel educativo,Alto,FI,Finlandia,6.604294556237447,5923
Nivel educativo,Bajo,FI,Finlandia,5.65111316845474,2752
Nivel educativo,Medio,FI,Finlandia,5.783805938029037,4008
Nivel educativo,Alto,FR,Francia,6.039736037997419,5528
Nivel educativo,Bajo,FR,Francia,4.4469106935864575,4323
Nivel educativo,Medio,FR,Francia,4.811498038991035,7060
Nivel educativo,Alto,HU,Hungría,4.713277240134024,3356
Nivel educativo,Bajo,HU,Hungría,3.7299262454255544,3557
Nivel educativo,Medio,HU,Hungría,4.056128959186627,9141
Nivel educativo,Alto,IE,Irlanda,6.510141125295449,7027
Nivel educativo,Bajo,IE,Irlanda,4.986822990456302,5001
Nivel educativo,Medio,IE,Irlanda,5.650454699157429,3468
Nivel educativo,Alto,NL,Países Bajos,6.143112668347453,6289
Nivel educativo,Bajo,NL,Países Bajos,5.115019389786788,7041
Nivel educativo,Medio,NL,Países Bajos,5.521684466607985,5649
Nivel educativo,Alto,NO,Noruega,6.269251206017466,8008
Nivel educativo,Bajo,NO,Noruega,5.188870317842663,2851
Nivel educativo,Medio,NO,Noruega,5.4025826234385095,6073
Nivel educativo,Alto,PL,Polonia,6.226179490397897,4288
Nivel educativo,Bajo,PL,Polonia,5.389912497990077,5356
Nivel educativo,Medio,PL,Polonia,5.769993299362613,6728
Nivel educativo,Alto,PT,Portugal,6.209094802564147,2268
Nivel educativo,Bajo,PT,Portugal,4.983323660478128,7179
Nivel educativo,Medio,PT,Portugal,5.634905278611501,2413
Nivel educativo,Alto,SE,Suecia,6.80860088525695,5567
Nivel educativo,Bajo,SE,Suecia,5.647227319524187,2172
Nivel educativo,Medio,SE,Suecia,5.979181250794191,3443
Nivel educativo,Alto,SI,Eslovenia,5.63284713502705,3213
Nivel educativo,Bajo,SI,Eslovenia,4.124094137802675,3018
Nivel educativo,Medio,SI,Eslovenia,4.561823680340708,7314
Grupo de edad,15-29,BE,Bélgica,5.480259352895639,4135
Grupo de edad,30-44,BE,Bélgica,5.387596982992285,4511
