anio,cntry,media,n,pais
2002,BE,4.848906040838825,1729,Bélgica
2002,CH,5.7704230410303925,1893,Suiza
2002,DE,5.356591343185644,2697,Alemania
2002,ES,5.382692608319642,1431,España
2002,FI,5.967555135403839,1927,Finlandia
2002,FR,4.943142268213266,1453,Francia
2002,HU,4.419148692765512,1327,Hungría
2002,IE,5.33428331272532,1853,Irlanda
2002,NL,5.200762612761302,2216,Países Bajos
2002,NO,5.3206073390779,1981,Noruega
2002,PL,5.319509110500441,1715,Polonia
2002,PT,4.5981490717445554,1209,Portugal
2002,SE,6.332825898447769,1820,Suecia
2002,SI,4.644945072154247,1369,Eslovenia
2004,BE,4.747249618673082,1716,Bélgica
2004,CH,5.568957179119742,2021,Suiza
2004,DE,4.924890947044309,2653,Alemania
2004,ES,5.602695183134912,1512,España
2004,FI,5.8391089573168315,1957,Finlandia
2004,FR,4.705878626988677,1756,Francia
2004,HU,4.359640129149413,1261,Hungría
2004,IE,5.756169498939182,2133,Irlanda
2004,NL,5.10555167965047,1809,Países Bajos
2004,NO,5.16723905258097,1721,Noruega
2004,PL,5.490619096251927,1450,Polonia
2004,PT,4.247435158336466,1804,Portugal
2004,SE,6.073969894555767,1809,Suecia
2004,SI,4.620085125061089,1290,Eslovenia
2006,BE,5.003705446342817,1750,Bélgica
2006,CH,5.728678479504576,1726,Suiza
2006,DE,4.956517969217551,2695,Alemania
2006,ES,5.533438826622727,1707,España
2006,FI,6.030585677930316,1850,Finlandia
2006,FR,4.775376260200748,1952,Francia
2006,HU,4.137021170129028,1239,Hungría
2006,IE,5.94079057402232,1682,Irlanda
2006,NL,5.457947416730363,1800,Países Bajos
2006,NO,5.3475227961797,1711,Noruega
2006,PL,6.036453783860661,1520,Polonia
2006,PT,4.872591106047111,1751,Portugal
2006,SE,6.195057840098899,1778,Suecia
2006,SI,4.646895105479121,1325,Eslovenia
2008,BE,5.116099360173688,1717,Bélgica
2008,CH,5.977823992844292,1698,Suiza
2008,DE,5.423012835415425,2614,Alemania
2008,ES,5.3351914003049625,2320,España
2008,FI,6.09525863978084,2156,Finlandia
2008,FR,4.960452285809443,2008,Francia
2008,HU,4.109651355332508,1273,Hungría
2008,IE,5.414877605263788,1732,Irlanda
2008,NL,5.5798922177009285,1708,Países Bajos
2008,NO,5.5132722228590065,1523,Noruega
2008,PL,5.996185760272921,1390,Polonia
2008,PT,5.051509596181487,1941,Portugal
2008,SE,6.258833329672107,1726,Suecia
2008,SI,4.646825698754004,1191,Eslovenia
2010,BE,4.859247169381611,1680,Bélgica
2010,CH,5.883978124600743,1451,Suiza
2010,DE,5.311722787203834,2824,Alemania
2010,ES,5.337763459951458,1780,España
2010,FI,5.766544339750797,1834,Finlandia
2010,FR,4.788616840431673,1699,Francia
2010,HU,4.474273836210666,1325,Hungría
2010,IE,4.980785779311135,2458,Irlanda
2010,NL,5.574974946920926,1744,Países Bajos
2010,NO,5.558816799346709,1516,Noruega
2010,PL,5.904883586698829,1476,Polonia
2010,PT,4.745573652120813,1877,Portugal
2010,SE,6.560579904662842,1413,Suecia
2010,SI,4.483577042331124,1297,Eslovenia
2012,BE,4.980099811650208,1845,Bélgica
2012,CH,5.875934103725634,1420,Suiza
2012,DE,5.774226555534337,2865,Alemania
2012,ES,5.65444217958885,1796,España
2012,FI,6.032070867990224,2152,Finlandia
2012,FR,4.78050046479137,1935,Francia
2012,HU,4.6651950759697876,1719,Hungría
2012,IE,5.341350703205642,2534,Irlanda
2012,NL,5.648268950514977,1763,Países Bajos
2012,NO,5.8224410018644805,1594,Noruega
2012,PL,6.118507508053652,1606,Polonia
2012,PT,4.395794055692001,1897,Portugal
2012,SE,6.285874844696176,1763,Suecia
2012,SI,4.915524200278254,1149,Eslovenia
2014,BE,4.947782965438499,1747,Bélgica
2014,CH,5.860512302107609,1480,Suiza
2014,DE,5.7013105216829825,2965,Alemania
2014,ES,5.476390063769662,1715,España
2014,FI,5.867160739799713,2028,Finlandia
2014,FR,4.857698493109271,1868,Francia
2014,HU,4.118124750639327,1441,Hungría
2014,IE,5.345621002519489,2239,Irlanda
2014,NL,5.361457924729166,1827,Países Bajos
2014,NO,5.5867525468352595,1405,Noruega
2014,PL,5.536516508800171,1348,Polonia
2014,PT,5.051489070471866,1171,Portugal
2014,SE,6.539852412611546,1721,Suecia
2014,SI,4.678669121546515,1092,Eslovenia
2016,BE,5.2775110315453935,1750,Bélgica
2016,CH,5.8823567825594765,1457,Suiza
2016,DE,5.668363364626412,2788,Alemania
2016,ES,5.8142547333269885,1768,España
2016,FI,5.939924266617493,1890,Finlandia
2016,FR,5.065627912282011,2014,Francia
2016,HU,3.3651146680466772,1381,Hungría
2016,IE,6.003914912335547,2632,Irlanda
2016,NL,5.596492359571216,1586,Países Bajos
2016,NO,5.648004838213198,1505,Noruega
2016,PL,5.424476216488456,1393,Polonia
2016,PT,5.685717142686459,1190,Portugal
2016,SE,6.289387782936615,1473,Suecia
2016,SI,4.460178394931497,1242,Eslovenia
2018,BE,5.516503234084106,1730,Bélgica
2018,CH,6.015257061359257,1422,Suiza
2018,DE,5.711511239711746,2302,Alemania
2018,ES,6.03074624981644,1489,España
2018,FI,6.040462587929901,1717,Finlandia
2018,FR,5.2413595976933145,1910,Francia
2018,HU,3.855467220025052,1470,Hungría
2018,IE,6.318171512751295,2141,Irlanda
2018,NL,5.7765916393442955,1582,Países Bajos
2018,NO,5.9577071813627,1356,Noruega
2018,PL,5.723617938092408,1271,Polonia
2018,PT,6.154808904026504,963,Portugal
2018,SE,6.415864273889301,1485,Suecia
2018,SI,4.503930982279963,1251,Eslovenia
2020,BE,5.814465661609926,1311,Bélgica
2020,CH,6.310144481212375,1459,Suiza
2020,DE,5.540166172767272,8338,Alemania
2020,ES,6.395068835385668,2214,España
2020,FI,6.373866890321873,1550,Finlandia
2020,FR,5.460300363055176,1877,Francia
2020,HU,4.071628858868399,1706,Hungría
2020,IE,6.762175154626887,1683,Irlanda
2020,NL,6.055242815472095,1385,Países Bajos
2020,NO,6.279366017782032,1381,Noruega
2020,PL,6.19570801931831,2014,Polonia
2020,PT,6.1042300946427295,1592,Portugal
2020,SE,5.5773369057119115,2250,Suecia
2020,SI,4.91735780944144,1199,Eslovenia
2023,BE,5.653264765769175,1549,Bélgica
2023,CH,6.234451176204767,1320,Suiza
2023,DE,5.532628476125459,2354,Alemania
2023,ES,6.216224496125827,1767,España
2023,FI,6.494566019624965,1533,Finlandia
2023,FR,5.3237229509462844,1682,Francia
2023,HU,3.7810421741570277,1989,Hungría
2023,IE,6.276899463648915,1939,Irlanda
2023,NL,5.7964102954011745,1623,Países Bajos
2023,NO,6.194906690953385,1308,Noruega
2023,PL,5.5329969892157544,1285,Polonia
2023,PT,5.514823864045242,1249,Portugal
2023,SE,6.358518142187724,1199,Suecia
2023,SI,5.182373046926464,1176,Eslovenia
