skim_type,skim_variable,n_missing,complete_rate,character.min,character.max,character.empty,character.n_unique,character.whitespace,factor.ordered,factor.n_unique,factor.top_counts,numeric.mean,numeric.sd,numeric.p0,numeric.p25,numeric.p50,numeric.p75,numeric.p100,numeric.hist
character,name,0,1,9,12,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,edition,0,1,3,3,0,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,proddate,0,1,10,10,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,cntry,0,1,2,2,0,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
factor,grupo_edad,1525,0.9947485864227715,NA,NA,NA,NA,NA,FALSE,5,"45-: 73703, 30-: 70143, 60-: 62595, 15-: 54721",NA,NA,NA,NA,NA,NA,NA,NA
factor,nivel_edu,34473,0.8812905047555424,NA,NA,NA,NA,NA,FALSE,3,"Med: 93224, Alt: 88168, Baj: 74533",NA,NA,NA,NA,NA,NA,NA,NA
factor,sexo,528,0.9981818056598186,NA,NA,NA,NA,NA,FALSE,2,"Muj: 151770, Hom: 138100",NA,NA,NA,NA,NA,NA,NA,NA
factor,habitat,934,0.9967837244058154,NA,NA,NA,NA,NA,FALSE,5,"Pue: 93642, Ciu: 86244, Ciu: 49250, Per: 36711",NA,NA,NA,NA,NA,NA,NA,NA
numeric,essround,0,1,NA,NA,NA,NA,NA,NA,NA,NA,5.944355677367268,3.1614683816150815,1,3,6,9,11,▇▅▅▅▆
numeric,idno,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1671926490.9784918,23617486491.805744,1,2248,15656.5,67427,510130400606,▇▁▁▁▁
numeric,dweight,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.0000010880816603,0.32179130509024245,0.015483037568628788,0.9474823474884033,1,1.0192999839782715,5.19531774520874,▇▂▁▁▁
numeric,pspwght,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.0021077530058622,0.48081671099534357,7.500774809159338e-4,0.7403587698936462,0.9367843270301819,1.1581642627716064,6.854966640472412,▇▁▁▁▁
