variable,pct_na
inwyye,37.44
inwyys,37.43
blgetmg,19.53
idx_conf_inst,13.47
eisced,11.87
nivel_edu,11.87
trstprt,11.24
lrscale,10.23
trstep,8.41
idx_actitud,6.49
idx_permisividad,4.39
idx_conf_inst3,4.13
stfgov,3.59
imwbcnt,3.31
imbgeco,3.28
imdfetn,3.2
imsmetn,3.12
imueclt,3.11
stfdem,3.1
impcntr,2.78
trstprl,2.59
hincfel,2.27
trstlgl,2.05
stfeco,1.9
trstplt,1.57
eduyrs,1.38
idx_conf_interp,0.94
trstplc,0.8
rlgdgr,0.75
mnactic,0.66
pplfair,0.57
grupo_edad,0.53
agea,0.52
facntr,0.48
stflife,0.41
pplhlp,0.38
happy,0.37
domicil,0.32
habitat,0.32
mocntr,0.27
ppltrst,0.26
gndr,0.18
sexo,0.18
polintr,0.18
brncntr,0.1
name,0
essround,0
edition,0
proddate,0
idno,0
cntry,0
dweight,0
pspwght,0
pweight,0
anweight,0
anio,0
